Customer ID,Avg Session length,Time on App,Time on Website,Length of MemberShip,Yealy amount spent
1,32.53834984,12.02884556,35.85054016,3.648854068,576.0982734
2,34.20671836,12.22685128,37.2464426,1.987536404,460.7849552
3,31.53523996,11.81434117,36.61069683,3.351190821,349.7397911
4,32.19957748,11.29516323,37.42569485,5.234336894,547.7099206
5,33.57013745,13.50097163,36.85616474,3.938602618,487.0556406
6,33.61370081,13.12909418,36.33862236,5.05387331,498.8061365
7,34.42698208,9.997738276,38.31596304,5.452813975,272.6415784
8,34.03731828,11.93976621,35.94539843,4.615463815,577.2392052
9,31.97688036,12.94269468,37.0004587,3.857095656,535.6674487
10,33.69600346,12.48877857,36.32244308,1.965374155,775.3376264
11,33.98714123,10.57712995,36.50138376,3.522950823,530.3435542
12,33.02764353,12.08688386,36.07493047,4.697907991,474.2197047
13,33.5085679,10.18641028,37.1751869,2.349207866,555.4959761
14,31.57968645,12.25405288,37.19050131,1.633729587,446.4917214
15,34.04036582,12.16485331,40.00668129,4.935085461,407.6942588
16,35.14343856,11.23000769,37.08912621,2.090475197,632.4909216
17,33.94241368,14.84049603,36.07374584,3.152617655,483.3407179
18,32.06173495,12.84218091,38.68346548,3.313432836,569.3031227
19,31.22618088,12.21622937,35.71635191,4.369883228,538.4025668
20,32.35943994,13.79682842,36.3862093,3.764183918,436.086252
21,32.10097978,10.85074906,37.43832287,4.302290418,256.67
22,31.62901592,11.95468292,37.97560865,3.824627028,556.6208281
23,33.01614024,11.49873128,37.93119584,3.576344294,481.699037
24,32.97016622,11.93871399,36.97855997,2.73568967,438.3564101
25,33.29268033,11.79807267,36.40707372,2.460725696,533.436667
26,32.93449874,9.802474562,37.14502122,2.97357378,541.2474669
27,32.87487218,13.23665638,37.71068793,2.913824135,487.4558433
28,32.99800256,12.96374492,37.92192497,5.224985307,572.4401048
29,34.25899114,12.89481641,37.20993622,2.845363243,734.7205238
30,33.0325016,10.99060568,37.8461283,4.434859468,503.1406869
31,32.97574496,12.1669635,36.70711154,3.806232764,519.0386504
32,32.511093,11.97341736,37.84644318,3.947827498,578.5380168
33,34.01024391,12.41475231,36.32565053,3.894721779,523.7956663
34,32.67428205,10.25587865,38.57799142,3.244817693,529.670898
35,32.21343847,12.16218202,36.76804478,4.020016783,600.8826362
36,31.5097593,11.21962453,36.90277986,4.295965394,462.9224355
37,33.5802589,10.85379116,36.7392654,2.735731137,502.4562995
38,33.79111722,13.4383558,38.59034156,3.603811798,477.2163324
39,32.4446892,11.96878303,36.28181383,3.429340708,515.269332
40,32.51367346,13.70039471,37.84529031,3.286042681,521.4339094
41,31.9301274,10.00549775,36.82801973,3.319224293,489.3190778
42,31.91796448,9.584760726,36.79706041,4.566098918,443.6791171
43,34.1009191,13.46908491,35.5502976,1.797902652,423.0439288
44,32.88466716,10.75282213,38.88931831,2.68300997,455.6424391
45,32.65510299,11.45265867,38.62490159,2.147533254,765
46,31.3781756,11.79269267,37.69757064,2.236085213,519.7409597
47,33.92511957,11.78396581,37.54804661,4.244368711,590.7925627
48,34.58557658,11.13403589,38.11620503,3.083317429,663.7338558
49,31.50059254,13.22203843,38.20463593,3.67439271,508.4482907
50,33.5902251,12.08796006,37.32425565,3.75933842,520.5277495
51,33.20956369,10.58150199,35.75020637,3.864354987,420.7094557
52,31.98780614,11.41810514,37.80021737,3.395071808,618.2655859
53,33.1384157,12.24973334,37.94830522,3.786864821,519.0354255
54,33.31785826,12.19365185,35.2977598,3.121185846,386.2546913
55,33.55289441,9.737059151,35.91860704,2.90868802,468.4053073
56,32.44519966,10.85047412,37.01599566,3.737572653,502.4643795
57,34.24908784,13.04667668,35.71555918,5.260290138,355.9314195
58,32.41800212,11.20344565,35.66319918,4.838045119,554.5567791
59,32.3752641,12.33152058,38.97349208,4.155694874,510.9207022
60,31.94602892,13.97251264,37.41902722,2.875294462,585.84916
61,33.07101523,11.74609882,35.87468181,2.979604614,550.6612765
62,31.1738852,12.78092755,37.6893204,3.558511969,596.3370146
63,31.95512675,10.06946111,36.61220053,4.836082078,499.0982532
64,33.31746031,11.58095445,37.77304904,4.083927238,520.9917061
65,32.40759361,13.27407939,37.64432473,4.534952135,570.2500116
66,33.04883148,12.04666325,37.71175557,1.16432094,521.4200707
67,32.90046144,12.86598107,36.69738501,4.61263642,458.5879105
68,31.31671207,11.66650087,37.22228064,2.378289147,552.1396572
69,33.95569118,11.61990789,37.40863105,4.236649323,427.4000624
70,32.31514766,13.44181073,38.29366302,6.019829153,348.6396432
71,31.95581719,11.46659796,36.06078935,2.481894351,488.2720288
72,34.7471538,12.12326512,37.47683572,3.22522521,596.0078865
73,32.95700248,12.93032247,36.28019021,1.476733198,364.734246
74,32.40913888,10.35928243,37.73447354,3.703705852,537.6096914
75,33.12884053,11.20010906,37.34325032,1.777416857,500.5145954
76,31.81309169,12.80461594,36.58183038,3.511386575,538.8217762
77,33.54612497,10.36731554,37.63542723,2.875647498,551.8326241
78,33.84894282,11.7027983,37.15501928,4.486681198,516.3368306
79,33.96619366,10.7324864,38.08433101,2.764547383,653.5725244
80,31.25571032,12.18867519,35.97157872,3.425743832,369.0310514
81,35.16206129,10.62217753,37.13349547,2.82983705,489.0118595
82,32.04300809,13.8553212,37.796449,4.210149305,439.7828143
83,33.83679484,11.95998757,37.67036289,3.152173001,611.5380337
84,33.84450485,12.24420881,36.45783756,4.839511811,419.834333
85,34.07000788,12.24100614,38.52767524,1.878375872,485.5087286
86,32.14594158,11.20270179,37.58096635,3.393549072,500.8339579
87,34.13276823,10.43721304,37.0018383,4.128532258,501.6337818
88,33.39191344,10.68096295,36.00167488,3.523223827,377.3221797
89,31.83088491,10.63820691,38.33355156,2.781972099,381.1783688
90,33.89379051,10.64993229,38.38578191,4.036905072,501.3371532
91,34.09482385,10.13193774,36.38316824,4.007904893,381.7944132
92,32.37781547,12.08345677,37.95879644,3.767017204,517.3468095
93,33.20806751,12.31208188,37.07477,2.924052213,584.2377935
94,33.79953581,12.34383411,37.14135836,2.166185015,620.754081
95,31.22874161,12.65546939,36.04964979,3.362091225,431.2977529
96,34.98337339,11.71967611,38.09301893,3.508796383,452.6075126
97,32.07694733,11.38961701,36.86646545,3.132998753,540.6360943
98,33.59022943,13.67861262,36.74483227,4.04718878,508.0785182
99,32.9613457,11.23117264,38.74233035,2.764622173,467.0047628
100,31.77030914,10.98692797,36.24545865,4.316403053,644.4585521
101,31.03226506,11.50976159,35.41500973,2.198390192,505.7430371
102,33.37652281,12.25589596,37.77104794,3.682785098,553.3067617
103,32.93501589,11.6962287,36.36873269,3.517860341,457.0372844
104,31.77537778,12.45346054,34.47509615,4.373463014,343.1204394
105,33.71411791,12.71886639,36.7789164,2.05390046,556.0990068
106,32.3702968,10.91283785,37.58007399,4.793551071,320.9000075
107,34.12721057,12.22126882,37.14676947,3.577099656,374.6147422
108,32.93484086,11.7963525,36.88470604,4.009783959,564.2862688
109,32.37158116,11.38564333,37.86614522,2.907685195,606.6643209
110,32.89164755,11.63724011,35.9417739,3.812687612,485.3190639
111,33.16941301,12.18578829,37.51480484,2.358877831,507.6384204
112,33.09857044,12.75731997,37.99963217,2.111604467,572.8001735
113,32.16343022,12.97122799,37.43437651,4.477901293,507.2432103
114,34.22752702,12.74382442,36.942454,4.278576401,520.0302435
115,32.80352757,12.67408129,40.80838798,4.946204147,501.665489
116,33.23484973,10.26487459,37.27396998,2.030573529,609.1099358
117,34.00572998,14.14025619,37.63348494,2.781757611,514.8535075
118,32.90084487,12.71629303,37.4694724,2.734974379,607.67224
119,33.19998081,11.45949777,36.15489249,3.28641848,510.0346432
120,34.91991027,14.33658587,36.80624974,1.862578178,453.1351431
121,33.62377376,12.40025505,37.4970225,1.182033038,471.1567659
122,32.92074434,14.27819516,38.32511162,3.916937967,467.7037389
123,32.48529557,12.07283235,37.52579795,4.506439135,475.7321227
124,33.52497209,9.630305825,38.15231766,2.791494684,483.6584599
125,32.70634463,13.25123546,37.16909764,3.278264799,436.946162
126,32.06118412,10.75150861,37.50237702,4.793711585,643.1627925
127,33.69565125,11.00560065,35.84730361,3.861640125,433.938391
128,32.2093335,12.00794075,36.6327429,2.502699267,472.6077209
129,33.45686457,12.08494672,36.97336264,3.050520864,594.4025522
130,33.29885158,10.89118991,36.45455682,3.960828884,500.5891647
131,32.98301031,12.32459771,36.06363176,3.928259379,453.8386161
132,31.7511051,11.03024869,38.210418,4.850997382,525.059468
133,32.39080228,11.15678257,37.10619585,3.725436893,495.1238077
134,33.59066122,11.50403065,37.68964281,3.7022476,539.7945157
135,33.70613629,11.15912046,36.96071649,2.912755627,350.2305307
136,34.5743658,13.6879086,37.97047616,3.79805449,538.3941182
137,34.02173076,11.60688985,37.56193463,3.521027096,389.6085252
138,31.48866015,10.86129319,38.84983631,3.16681124,694.225203
139,33.97325024,12.91394888,37.82864963,2.076532657,396.4849712
140,33.81018999,11.69730326,36.85190197,3.919279375,607.942463
141,32.19943382,12.78934593,36.79252877,3.766219905,554.5549217
142,33.54035717,12.53805343,38.98206435,4.694907268,465.9613019
143,32.83341607,12.62258458,36.81087729,1.440933302,471.1242158
144,32.37182476,11.57899864,38.38614958,4.595802914,443.8435772
145,33.59752535,12.60062162,38.72547662,2.870865938,441.3708477
146,32.94885947,11.17732029,37.78652873,4.804750451,502.6475645
147,34.16899374,12.06418214,36.53930826,3.979034337,399.8596689
148,32.42322557,10.84995131,36.02513883,1.809221757,479.1500562
149,33.13890101,11.95746526,37.14242915,3.740225731,471.8728424
150,31.1958299,14.76643037,35.55205098,2.719998889,496.159467
151,34.3958617,12.5276756,38.10606037,3.622477551,559.1563535
152,34.45799103,10.70361459,33.88317377,1.940848365,605.8297677
153,34.46288809,11.760142,35.81316049,4.306351686,564.2516232
154,32.48091851,10.98308909,38.20079891,3.281345447,502.8602937
155,33.74298092,11.81392208,35.42644262,3.973913733,607.2070326
156,34.87966537,11.62534402,36.23820495,3.035608278,546.0644728
157,34.0215869,12.54524613,37.28471201,2.076140367,318.0003614
158,32.7818051,11.3674286,37.55483501,4.266558491,608.8420287
159,33.0000175,11.50486299,37.52925624,3.765113298,436.0887706
160,32.23740895,13.38345225,36.8083466,2.542007018,561.0597369
161,32.84340133,14.08899374,36.98977916,3.428062561,387.6561747
162,31.05518755,11.44434193,37.83188642,2.920433752,620.6465935
