20,40,50,60,76,1
24,48,52,61,76,1
29,49,53,62,78,1
20,43,54,63,79,1
22,44,55,64,70,1
23,45,56,65,79,1
29,41,57,66,78,1
22,42,58,67,77,1
25,43,59,68,76,1
26,45,50,69,75,1
27,46,59,60,74,1
28,47,59,70,73,1
10,20,12,12,31,0
10,20,13,14,30,0
10,20,12,15,32,0
10,20,12,16,33,0
10,20,12,17,34,0
10,20,12,18,35,0
10,20,12,13,36,0
10,20,12,12,37,0
10,20,12,11,32,0
10,20,12,16,31,0
10,20,12,17,33,0
10,20,12,18,34,0
10,20,17,13,34,0
10,20,16,14,34,0
10,20,15,15,34,0
10,20,13,16,34,0
10,20,11,17,34,0
10,20,10,18,34,0
10,20,19,19,34,0
10,20,18,12,34,0
10,20,16,11,34,0

